ticker,score,grade,hard_failures,human_review_required,run_folder
MATX,86,GOOD,,false,reports/MATX/runs/v5_quality_broad_500_mixed_50_batch_MATX
GSL,86,GOOD,,false,reports/GSL/runs/v5_quality_broad_500_mixed_50_batch_GSL
ODFL,86,GOOD,,false,reports/ODFL/runs/v5_quality_broad_500_mixed_50_batch_ODFL
JBHT,86,GOOD,,false,reports/JBHT/runs/v5_quality_broad_500_mixed_50_batch_JBHT
RKLB,78,ACCEPTABLE,,true,reports/RKLB/runs/v5_quality_broad_500_mixed_50_batch_RKLB
ASTS,86,GOOD,,false,reports/ASTS/runs/v5_quality_broad_500_mixed_50_batch_ASTS
JOBY,86,GOOD,,false,reports/JOBY/runs/v5_quality_broad_500_mixed_50_batch_JOBY
ACHR,78,ACCEPTABLE,,true,reports/ACHR/runs/v5_quality_broad_500_mixed_50_batch_ACHR
PLTR,86,GOOD,,false,reports/PLTR/runs/v5_quality_broad_500_mixed_50_batch_PLTR
SOFI,86,GOOD,,false,reports/SOFI/runs/v5_quality_broad_500_mixed_50_batch_SOFI
RIVN,86,GOOD,,false,reports/RIVN/runs/v5_quality_broad_500_mixed_50_batch_RIVN
LCID,86,GOOD,,false,reports/LCID/runs/v5_quality_broad_500_mixed_50_batch_LCID
U,86,GOOD,,false,reports/U/runs/v5_quality_broad_500_mixed_50_batch_U
PATH,86,GOOD,,false,reports/PATH/runs/v5_quality_broad_500_mixed_50_batch_PATH
LUNR,86,GOOD,,false,reports/LUNR/runs/v5_quality_broad_500_mixed_50_batch_LUNR
BBAI,86,GOOD,,false,reports/BBAI/runs/v5_quality_broad_500_mixed_50_batch_BBAI
IONQ,86,GOOD,,false,reports/IONQ/runs/v5_quality_broad_500_mixed_50_batch_IONQ
QBTS,78,ACCEPTABLE,,true,reports/QBTS/runs/v5_quality_broad_500_mixed_50_batch_QBTS
SERV,78,ACCEPTABLE,,true,reports/SERV/runs/v5_quality_broad_500_mixed_50_batch_SERV
AEHR,86,GOOD,,false,reports/AEHR/runs/v5_quality_broad_500_mixed_50_batch_AEHR
ENVX,86,GOOD,,false,reports/ENVX/runs/v5_quality_broad_500_mixed_50_batch_ENVX
QS,78,ACCEPTABLE,,true,reports/QS/runs/v5_quality_broad_500_mixed_50_batch_QS
IBM,78,ACCEPTABLE,,true,reports/IBM/runs/v5_quality_broad_500_mixed_50_batch_IBM
HPQ,86,GOOD,,false,reports/HPQ/runs/v5_quality_broad_500_mixed_50_batch_HPQ
DELL,86,GOOD,,false,reports/DELL/runs/v5_quality_broad_500_mixed_50_batch_DELL
600519.SH,78,ACCEPTABLE,,true,reports/600519.SH/runs/v5_quality_broad_500_mixed_50_batch_600519.SH
000858.SZ,78,ACCEPTABLE,,true,reports/000858.SZ/runs/v5_quality_broad_500_mixed_50_batch_000858.SZ
000568.SZ,78,ACCEPTABLE,,true,reports/000568.SZ/runs/v5_quality_broad_500_mixed_50_batch_000568.SZ
600809.SH,78,ACCEPTABLE,,true,reports/600809.SH/runs/v5_quality_broad_500_mixed_50_batch_600809.SH
000596.SZ,78,ACCEPTABLE,,true,reports/000596.SZ/runs/v5_quality_broad_500_mixed_50_batch_000596.SZ
603369.SH,78,ACCEPTABLE,,true,reports/603369.SH/runs/v5_quality_broad_500_mixed_50_batch_603369.SH
600887.SH,78,ACCEPTABLE,,true,reports/600887.SH/runs/v5_quality_broad_500_mixed_50_batch_600887.SH
000895.SZ,78,ACCEPTABLE,,true,reports/000895.SZ/runs/v5_quality_broad_500_mixed_50_batch_000895.SZ
603288.SH,78,ACCEPTABLE,,true,reports/603288.SH/runs/v5_quality_broad_500_mixed_50_batch_603288.SH
600872.SH,78,ACCEPTABLE,,true,reports/600872.SH/runs/v5_quality_broad_500_mixed_50_batch_600872.SH
000333.SZ,78,ACCEPTABLE,,true,reports/000333.SZ/runs/v5_quality_broad_500_mixed_50_batch_000333.SZ
000651.SZ,78,ACCEPTABLE,,true,reports/000651.SZ/runs/v5_quality_broad_500_mixed_50_batch_000651.SZ
000001.SZ,78,ACCEPTABLE,,true,reports/000001.SZ/runs/v5_quality_broad_500_mixed_50_batch_000001.SZ
600036.SH,78,ACCEPTABLE,,true,reports/600036.SH/runs/v5_quality_broad_500_mixed_50_batch_600036.SH
601398.SH,78,ACCEPTABLE,,true,reports/601398.SH/runs/v5_quality_broad_500_mixed_50_batch_601398.SH
601939.SH,78,ACCEPTABLE,,true,reports/601939.SH/runs/v5_quality_broad_500_mixed_50_batch_601939.SH
601288.SH,78,ACCEPTABLE,,true,reports/601288.SH/runs/v5_quality_broad_500_mixed_50_batch_601288.SH
601988.SH,78,ACCEPTABLE,,true,reports/601988.SH/runs/v5_quality_broad_500_mixed_50_batch_601988.SH
601328.SH,78,ACCEPTABLE,,true,reports/601328.SH/runs/v5_quality_broad_500_mixed_50_batch_601328.SH
600000.SH,78,ACCEPTABLE,,true,reports/600000.SH/runs/v5_quality_broad_500_mixed_50_batch_600000.SH
601166.SH,78,ACCEPTABLE,,true,reports/601166.SH/runs/v5_quality_broad_500_mixed_50_batch_601166.SH
600016.SH,78,ACCEPTABLE,,true,reports/600016.SH/runs/v5_quality_broad_500_mixed_50_batch_600016.SH
601818.SH,78,ACCEPTABLE,,true,reports/601818.SH/runs/v5_quality_broad_500_mixed_50_batch_601818.SH
601998.SH,78,ACCEPTABLE,,true,reports/601998.SH/runs/v5_quality_broad_500_mixed_50_batch_601998.SH
600919.SH,78,ACCEPTABLE,,true,reports/600919.SH/runs/v5_quality_broad_500_mixed_50_batch_600919.SH
